item_id,scan_id,subgraph_id,subject_id,object_id,subject_label,object_label,predicate_label,surface_type,surface_normal_class,min_point_distance_m,near_contact_point_count,contact_patch_score,floor_clearance_m,floor_or_table_supported,mechanism_label,observability_label,evidence_sufficient,confidence,notes
attachment_v2_0064,1d233ffc-e280-2b1a-8c3a-af74ca2b0cea,1d233ffc-e280-2b1a-8c3a-af74ca2b0cea_4,2,4,wall,wall,attached to,wall,vertical,0.0,109,1.0,1.567815970087179,False,,,,,
attachment_v2_0065,1d233ffc-e280-2b1a-8c3a-af74ca2b0cea,1d233ffc-e280-2b1a-8c3a-af74ca2b0cea_4,4,2,wall,wall,attached to,wall,vertical,0.0,91,1.0,2.0074137264966048,False,,,,,
attachment_v2_0066,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35_1,3,2,wall,sofa,attached to,furniture,horizontal_up,0.0,112,1.0,2.89428072953063,False,,,,,
attachment_v2_0067,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35_1,4,2,wall,sofa,attached to,furniture,horizontal_up,0.0,36,1.0,1.1624873589989297,False,,,,,
attachment_v2_0068,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35_4,25,11,wall,shelf,attached to,furniture,vertical,0.044723,3,0.112772,3.9972482665926865,False,,,,,
attachment_v2_0069,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35,1e0ccbe6-9783-2bd7-8d51-ca9e9226bf35_5,19,18,wall,desk,attached to,furniture,vertical,0.0,35,1.0,2.219007364672164,False,,,,,
attachment_v2_0070,20c99392-698f-29c5-8439-54bec948ecb1,20c99392-698f-29c5-8439-54bec948ecb1_1,13,14,wall,window,attached to,wall,vertical,0.0,351,1.0,0.6086147977733005,False,,,,,
attachment_v2_0071,20c99392-698f-29c5-8439-54bec948ecb1,20c99392-698f-29c5-8439-54bec948ecb1_1,30,13,wall,wall,attached to,wall,vertical,0.0,98,1.0,2.0691380611913344,False,,,,,
attachment_v2_0072,20c99392-698f-29c5-8439-54bec948ecb1,20c99392-698f-29c5-8439-54bec948ecb1_8,7,9,wall,wall,attached to,wall,vertical,0.0,80,1.0,0.6687171009806336,False,,,,,
attachment_v2_0073,20c99392-698f-29c5-8439-54bec948ecb1,20c99392-698f-29c5-8439-54bec948ecb1_8,9,7,wall,wall,attached to,wall,vertical,0.0,91,1.0,1.0050082049591595,False,,,,,
attachment_v2_0074,20c993af-698f-29c5-84b2-972451f94cfb,20c993af-698f-29c5-84b2-972451f94cfb_3,35,38,wall,shelf,attached to,furniture,vertical,0.0,94,1.0,1.8478285688407299,True,,,,,
attachment_v2_0075,20c993af-698f-29c5-84b2-972451f94cfb,20c993af-698f-29c5-84b2-972451f94cfb_6,17,16,wall,shelf,attached to,furniture,vertical,0.0,94,1.0,0.306345933954566,False,,,,,
attachment_v2_0076,20c993cb-698f-29c5-86fd-1a409a569219,20c993cb-698f-29c5-86fd-1a409a569219_1,57,9,wall,wall,attached to,wall,vertical,0.0,9,0.68,3.685956765123806,False,,,,,
attachment_v2_0077,20c993cb-698f-29c5-86fd-1a409a569219,20c993cb-698f-29c5-86fd-1a409a569219_1,9,10,wall,window,attached to,wall,vertical,0.0,694,1.0,2.9123961604734347,False,,,,,
attachment_v2_0078,352e9c36-69fb-27a7-889f-69b450a22b74,352e9c36-69fb-27a7-889f-69b450a22b74_1,16,2,wall,table,attached to,furniture,horizontal_up,0.0,49,1.0,3.1311195676540775,False,,,,,
attachment_v2_0079,352e9c36-69fb-27a7-889f-69b450a22b74,352e9c36-69fb-27a7-889f-69b450a22b74_4,17,18,wall,curtain,attached to,fixture,vertical,0.0,207,1.0,2.1045364414177836,False,,,,,
attachment_v2_0080,352e9c36-69fb-27a7-889f-69b450a22b74,352e9c36-69fb-27a7-889f-69b450a22b74_6,15,37,wall,picture,attached to,fixture,vertical,0.02065,12,0.5335,3.387830729156196,False,,,,,
attachment_v2_0081,352e9c36-69fb-27a7-889f-69b450a22b74,352e9c36-69fb-27a7-889f-69b450a22b74_7,10,11,wall,curtain,attached to,fixture,vertical,0.0,83,1.0,4.110981027405456,False,,,,,
attachment_v2_0082,352e9c36-69fb-27a7-889f-69b450a22b74,352e9c36-69fb-27a7-889f-69b450a22b74_7,14,10,wall,wall,attached to,wall,vertical,0.0,102,1.0,3.3447234611332686,False,,,,,
attachment_v2_0083,422885d9-192d-25fc-85de-b954f526b2ac,422885d9-192d-25fc-85de-b954f526b2ac_1,6,23,wall,shelf,attached to,furniture,vertical,0.0,140,1.0,0.5687902114405632,False,,,,,
attachment_v2_0084,422885d9-192d-25fc-85de-b954f526b2ac,422885d9-192d-25fc-85de-b954f526b2ac_7,12,2,wall,wall,attached to,wall,vertical,0.0,33,1.0,1.5739501337961572,False,,,,,
attachment_v2_0085,422885d9-192d-25fc-85de-b954f526b2ac,422885d9-192d-25fc-85de-b954f526b2ac_7,2,3,wall,door,attached to,wall,vertical,0.0,41,1.0,1.9222498581793148,False,,,,,
attachment_v2_0086,4e858ca1-fd93-2cb4-84b6-490997979830,4e858ca1-fd93-2cb4-84b6-490997979830_1,47,50,wall,wall,attached to,wall,slanted,0.0,53,1.0,5.856210222939607,False,,,,,
attachment_v2_0087,4e858ca1-fd93-2cb4-84b6-490997979830,4e858ca1-fd93-2cb4-84b6-490997979830_1,50,47,wall,wall,attached to,wall,vertical,0.0,136,1.0,7.672709060744346,False,,,,,
attachment_v2_0088,4e858ca1-fd93-2cb4-84b6-490997979830,4e858ca1-fd93-2cb4-84b6-490997979830_4,27,3,wall,table,attached to,furniture,vertical,0.0,17,0.84,5.7620854182000425,False,,,,,
attachment_v2_0089,5104a9cd-adc4-2a85-91f5-8030e69ee955,5104a9cd-adc4-2a85-91f5-8030e69ee955_1,2,3,wall,door,attached to,wall,vertical,0.016842,85,0.831583,1.625317629425627,False,,,,,
attachment_v2_0090,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0_1,14,5,wall,wall,attached to,wall,vertical,0.0,49,1.0,0.9698892725796795,False,,,,,
attachment_v2_0091,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0,5630cfcb-12bf-2860-87ee-b4e4a5bf0cb0_1,5,14,wall,wall,attached to,wall,vertical,0.0,41,1.0,0.1774348010963136,False,,,,,
attachment_v2_0092,752cc5a3-920c-26f5-8ff3-49518eff94c6,752cc5a3-920c-26f5-8ff3-49518eff94c6_1,17,15,wall,window,attached to,wall,vertical,0.0,631,1.0,2.3389666280808825,False,,,,,
attachment_v2_0093,752cc5a3-920c-26f5-8ff3-49518eff94c6,752cc5a3-920c-26f5-8ff3-49518eff94c6_5,2,4,wall,light,attached to,fixture,horizontal_up,0.0,115,1.0,1.4651398243569607,False,,,,,
attachment_v2_0094,752cc5a3-920c-26f5-8ff3-49518eff94c6,752cc5a3-920c-26f5-8ff3-49518eff94c6_5,8,2,wall,wall,attached to,wall,vertical,0.0,80,1.0,2.295462934208291,False,,,,,
attachment_v2_0095,ad408c9d-84db-2095-89c7-8a54f6260252,ad408c9d-84db-2095-89c7-8a54f6260252_2,7,10,wall,curtain,attached to,fixture,vertical,0.0,149,1.0,0.0,False,,,,,
attachment_v2_0096,ad408c9d-84db-2095-89c7-8a54f6260252,ad408c9d-84db-2095-89c7-8a54f6260252_7,6,22,wall,shelf,attached to,furniture,slanted,0.0,334,1.0,1.6399462806850544,False,,,,,
attachment_v2_0097,ad408c9d-84db-2095-89c7-8a54f6260252,ad408c9d-84db-2095-89c7-8a54f6260252_8,5,17,wall,door,attached to,wall,vertical,0.0,8,0.66,0.020120569236972585,False,,,,,
attachment_v2_0098,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,b3d355dd-7f5b-2091-86d0-b81f777eb9c1_1,10,9,wall,shelf,attached to,furniture,vertical,0.0,373,1.0,1.295229642750088,False,,,,,
attachment_v2_0099,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,b3d355dd-7f5b-2091-86d0-b81f777eb9c1_6,21,17,wall,window,attached to,wall,vertical,0.0,829,1.0,2.2383469776369616,False,,,,,
attachment_v2_0100,b3d355dd-7f5b-2091-86d0-b81f777eb9c1,b3d355dd-7f5b-2091-86d0-b81f777eb9c1_8,15,4,wall,wall,attached to,wall,vertical,0.0,30,1.0,2.0003896736169198,False,,,,,
