candidate_id,cv_or_group_key,class_pair,predicate_label,original_C_e,repair_role,support_score_proxy,upright_score_proxy,lying_score_proxy,pose_proxy_state
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::7->1::support_contact::4::standing_on::0,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::7->1::support_contact,tv stand->floor,standing on,1,abstain_single_subtype_class_pair,0.595136,0.448741,0.523621,ambiguous_pose
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::7->1::support_contact::4::lying_on::1,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::7->1::support_contact,tv stand->floor,lying on,0,abstain_single_subtype_class_pair,0.595136,0.448741,0.523621,ambiguous_pose
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::8->3::support_contact::5::lying_on::0,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::8->3::support_contact,cushion->couch,lying on,1,abstain_single_subtype_class_pair,0.592571,0.218092,0.869145,horizontal_like
official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::8->3::support_contact::5::standing_on::1,official_validation::095821f7-e2c2-2de1-9568-b9ce59920e29::8->3::support_contact,cushion->couch,standing on,0,abstain_single_subtype_class_pair,0.592571,0.218092,0.869145,horizontal_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::10->2::support_contact::6::lying_on::0,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::10->2::support_contact,cushion->couch,lying on,1,abstain_single_subtype_class_pair,0.37062,0.197479,0.881513,horizontal_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::10->2::support_contact::6::standing_on::1,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::10->2::support_contact,cushion->couch,standing on,0,abstain_single_subtype_class_pair,0.37062,0.197479,0.881513,horizontal_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::2->1::support_contact::0::standing_on::0,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::2->1::support_contact,couch->floor,standing on,1,abstain_single_subtype_class_pair,0.688721,0.503467,0.475278,ambiguous_pose
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::2->1::support_contact::0::lying_on::1,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::2->1::support_contact,couch->floor,lying on,0,abstain_single_subtype_class_pair,0.688721,0.503467,0.475278,ambiguous_pose
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::3->1::support_contact::1::standing_on::0,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::3->1::support_contact,couch->floor,standing on,1,abstain_single_subtype_class_pair,0.685636,0.359965,0.616002,horizontal_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::3->1::support_contact::1::lying_on::1,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::3->1::support_contact,couch->floor,lying on,0,abstain_single_subtype_class_pair,0.685636,0.359965,0.616002,horizontal_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::4->1::support_contact::2::standing_on::0,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::4->1::support_contact,armchair->floor,standing on,1,abstain_single_subtype_class_pair,0.473291,0.765017,0.264548,upright_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::4->1::support_contact::2::lying_on::1,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::4->1::support_contact,armchair->floor,lying on,0,abstain_single_subtype_class_pair,0.473291,0.765017,0.264548,upright_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::6->1::support_contact::3::standing_on::0,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::6->1::support_contact,ottoman->floor,standing on,1,abstain_single_subtype_class_pair,0.820375,0.34991,0.633012,horizontal_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::6->1::support_contact::3::lying_on::1,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::6->1::support_contact,ottoman->floor,lying on,0,abstain_single_subtype_class_pair,0.820375,0.34991,0.633012,horizontal_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::7->1::support_contact::4::standing_on::0,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::7->1::support_contact,tv stand->floor,standing on,1,abstain_single_subtype_class_pair,0.527431,0.632583,0.368449,upright_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::7->1::support_contact::4::lying_on::1,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::7->1::support_contact,tv stand->floor,lying on,0,abstain_single_subtype_class_pair,0.527431,0.632583,0.368449,upright_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::8->3::support_contact::5::lying_on::0,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::8->3::support_contact,cushion->couch,lying on,1,abstain_single_subtype_class_pair,0.364639,0.241226,0.855264,horizontal_like
official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::8->3::support_contact::5::standing_on::1,official_validation::095821f9-e2c2-2de1-9707-8f735cd1c148::8->3::support_contact,cushion->couch,standing on,0,abstain_single_subtype_class_pair,0.364639,0.241226,0.855264,horizontal_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::10->3::support_contact::6::lying_on::0,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::10->3::support_contact,cushion->couch,lying on,1,abstain_single_subtype_class_pair,0.373123,0.210158,0.873905,horizontal_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::10->3::support_contact::6::standing_on::1,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::10->3::support_contact,cushion->couch,standing on,0,abstain_single_subtype_class_pair,0.373123,0.210158,0.873905,horizontal_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::2->1::support_contact::0::standing_on::0,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::2->1::support_contact,couch->floor,standing on,1,abstain_single_subtype_class_pair,0.707214,0.488766,0.488094,ambiguous_pose
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::2->1::support_contact::0::lying_on::1,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::2->1::support_contact,couch->floor,lying on,0,abstain_single_subtype_class_pair,0.707214,0.488766,0.488094,ambiguous_pose
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::3->1::support_contact::1::standing_on::0,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::3->1::support_contact,couch->floor,standing on,1,abstain_single_subtype_class_pair,0.720427,0.369638,0.600202,horizontal_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::3->1::support_contact::1::lying_on::1,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::3->1::support_contact,couch->floor,lying on,0,abstain_single_subtype_class_pair,0.720427,0.369638,0.600202,horizontal_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::4->1::support_contact::2::standing_on::0,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::4->1::support_contact,armchair->floor,standing on,1,abstain_single_subtype_class_pair,0.586641,0.840569,0.210477,upright_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::4->1::support_contact::2::lying_on::1,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::4->1::support_contact,armchair->floor,lying on,0,abstain_single_subtype_class_pair,0.586641,0.840569,0.210477,upright_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::6->1::support_contact::3::standing_on::0,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::6->1::support_contact,ottoman->floor,standing on,1,abstain_single_subtype_class_pair,0.892417,0.330357,0.668002,horizontal_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::6->1::support_contact::3::lying_on::1,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::6->1::support_contact,ottoman->floor,lying on,0,abstain_single_subtype_class_pair,0.892417,0.330357,0.668002,horizontal_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::7->1::support_contact::4::standing_on::0,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::7->1::support_contact,tv stand->floor,standing on,1,abstain_single_subtype_class_pair,0.559639,0.863747,0.191975,upright_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::7->1::support_contact::4::lying_on::1,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::7->1::support_contact,tv stand->floor,lying on,0,abstain_single_subtype_class_pair,0.559639,0.863747,0.191975,upright_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::8->3::support_contact::5::lying_on::0,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::8->3::support_contact,cushion->couch,lying on,1,abstain_single_subtype_class_pair,0.418723,0.293053,0.743367,horizontal_like
official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::8->3::support_contact::5::standing_on::1,official_validation::095821fb-e2c2-2de1-94df-20f2cb423bcb::8->3::support_contact,cushion->couch,standing on,0,abstain_single_subtype_class_pair,0.418723,0.293053,0.743367,horizontal_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::11->1::support_contact::0::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::11->1::support_contact,kitchen cabinet->floor,standing on,1,abstain_single_subtype_class_pair,0.714264,0.346671,0.638626,horizontal_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::11->1::support_contact::0::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::11->1::support_contact,kitchen cabinet->floor,lying on,0,abstain_single_subtype_class_pair,0.714264,0.346671,0.638626,horizontal_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::31->1::support_contact::1::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::31->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.452391,0.695848,0.317533,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::31->1::support_contact::1::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::31->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.452391,0.695848,0.317533,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::33->1::support_contact::4::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::33->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.495767,0.741636,0.282276,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::33->1::support_contact::4::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::33->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.495767,0.741636,0.282276,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::34->1::support_contact::3::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::34->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.453137,0.544697,0.43997,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::34->1::support_contact::3::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::34->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.453137,0.544697,0.43997,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::35->1::support_contact::4::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::35->1::support_contact,dining table->floor,standing on,1,abstain_single_subtype_class_pair,0.473606,0.346184,0.639477,horizontal_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::35->1::support_contact::4::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::35->1::support_contact,dining table->floor,lying on,0,abstain_single_subtype_class_pair,0.473606,0.346184,0.639477,horizontal_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::36->35::support_contact::5::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::36->35::support_contact,table lamp->dining table,standing on,1,abstain_single_subtype_class_pair,0.724622,0.833552,0.195916,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::36->35::support_contact::5::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::36->35::support_contact,table lamp->dining table,lying on,0,abstain_single_subtype_class_pair,0.724622,0.833552,0.195916,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::37->1::support_contact::2::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::37->1::support_contact,box->floor,standing on,1,main_binary_mixed_class_pair,0.745389,0.615227,0.381572,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::37->1::support_contact::2::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::37->1::support_contact,box->floor,lying on,0,main_binary_mixed_class_pair,0.745389,0.615227,0.381572,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::39->1::support_contact::4::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::39->1::support_contact,rack->floor,standing on,1,abstain_single_subtype_class_pair,0.574453,0.833019,0.196153,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::39->1::support_contact::4::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::39->1::support_contact,rack->floor,lying on,0,abstain_single_subtype_class_pair,0.574453,0.833019,0.196153,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::4->1::support_contact::2::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::4->1::support_contact,trash can->floor,standing on,1,abstain_single_subtype_class_pair,0.578823,0.832094,0.222622,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::4->1::support_contact::2::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::4->1::support_contact,trash can->floor,lying on,0,abstain_single_subtype_class_pair,0.578823,0.832094,0.222622,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::40->1::support_contact::5::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::40->1::support_contact,shoe->floor,standing on,1,abstain_single_subtype_class_pair,0.914738,0.318379,0.690848,horizontal_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::40->1::support_contact::5::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::40->1::support_contact,shoe->floor,lying on,0,abstain_single_subtype_class_pair,0.914738,0.318379,0.690848,horizontal_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::42->1::support_contact::6::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::42->1::support_contact,box->floor,standing on,1,main_binary_mixed_class_pair,0.924798,0.453875,0.51901,ambiguous_pose
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::42->1::support_contact::6::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::42->1::support_contact,box->floor,lying on,0,main_binary_mixed_class_pair,0.924798,0.453875,0.51901,ambiguous_pose
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::48->1::support_contact::5::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::48->1::support_contact,object->floor,standing on,1,main_binary_mixed_class_pair,0.791478,0.847789,0.206128,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::48->1::support_contact::5::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::48->1::support_contact,object->floor,lying on,0,main_binary_mixed_class_pair,0.791478,0.847789,0.206128,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::5->1::support_contact::3::standing_on::0,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::5->1::support_contact,trash can->floor,standing on,1,abstain_single_subtype_class_pair,0.698433,0.681644,0.328626,upright_like
official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::5->1::support_contact::3::lying_on::1,official_validation::0988ea72-eb32-2e61-8344-99e2283c2728::5->1::support_contact,trash can->floor,lying on,0,abstain_single_subtype_class_pair,0.698433,0.681644,0.328626,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::10->1::support_contact::1::standing_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::10->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.568897,0.831809,0.210477,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::10->1::support_contact::1::lying_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::10->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.568897,0.831809,0.210477,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::11->1::support_contact::2::standing_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::11->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.711013,0.862052,0.19452,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::11->1::support_contact::2::lying_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::11->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.711013,0.862052,0.19452,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::12->1::support_contact::3::standing_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::12->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.47359,0.857341,0.197154,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::12->1::support_contact::3::lying_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::12->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.47359,0.857341,0.197154,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::13->1::support_contact::4::standing_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::13->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.544765,0.837226,0.216941,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::13->1::support_contact::4::lying_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::13->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.544765,0.837226,0.216941,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::17->1::support_contact::2::standing_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::17->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.473137,0.792892,0.259603,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::17->1::support_contact::2::lying_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::17->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.473137,0.792892,0.259603,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::18->1::support_contact::3::standing_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::18->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.472401,0.861409,0.194294,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::18->1::support_contact::3::lying_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::18->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.472401,0.861409,0.194294,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::19->1::support_contact::4::standing_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::19->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.49703,0.70226,0.312551,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::19->1::support_contact::4::lying_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::19->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.49703,0.70226,0.312551,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::27->6::support_contact::6::lying_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::27->6::support_contact,menu->table,lying on,1,abstain_single_subtype_class_pair,0.46668,0.811732,0.237531,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::27->6::support_contact::6::standing_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::27->6::support_contact,menu->table,standing on,0,abstain_single_subtype_class_pair,0.46668,0.811732,0.237531,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::28->7::support_contact::7::lying_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::28->7::support_contact,menu->table,lying on,1,abstain_single_subtype_class_pair,0.490944,0.826689,0.229992,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::28->7::support_contact::7::standing_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::28->7::support_contact,menu->table,standing on,0,abstain_single_subtype_class_pair,0.490944,0.826689,0.229992,upright_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::5->1::support_contact::0::standing_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::5->1::support_contact,table->floor,standing on,1,abstain_single_subtype_class_pair,0.364769,0.126166,0.9243,horizontal_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::5->1::support_contact::0::lying_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::5->1::support_contact,table->floor,lying on,0,abstain_single_subtype_class_pair,0.364769,0.126166,0.9243,horizontal_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::6->1::support_contact::0::standing_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::6->1::support_contact,table->floor,standing on,1,abstain_single_subtype_class_pair,0.371489,0.207459,0.875525,horizontal_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::6->1::support_contact::0::lying_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::6->1::support_contact,table->floor,lying on,0,abstain_single_subtype_class_pair,0.371489,0.207459,0.875525,horizontal_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::7->1::support_contact::1::standing_on::0,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::7->1::support_contact,table->floor,standing on,1,abstain_single_subtype_class_pair,0.384268,0.159995,0.904003,horizontal_like
official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::7->1::support_contact::1::lying_on::1,official_validation::0cac7532-8d6f-2d13-8cea-1e70d5ae4856::7->1::support_contact,table->floor,lying on,0,abstain_single_subtype_class_pair,0.384268,0.159995,0.904003,horizontal_like
official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::12->1::support_contact::1::standing_on::0,official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::12->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.603409,0.512549,0.467422,ambiguous_pose
official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::12->1::support_contact::1::lying_on::1,official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::12->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.603409,0.512549,0.467422,ambiguous_pose
official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::13->1::support_contact::1::standing_on::0,official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::13->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.54182,0.672886,0.335504,upright_like
official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::13->1::support_contact::1::lying_on::1,official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::13->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.54182,0.672886,0.335504,upright_like
official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::18->1::support_contact::2::standing_on::0,official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::18->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.504846,0.553314,0.432704,upright_like
official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::18->1::support_contact::2::lying_on::1,official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::18->1::support_contact,chair->floor,lying on,0,abstain_single_subtype_class_pair,0.504846,0.553314,0.432704,upright_like
official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::19->1::support_contact::2::standing_on::0,official_validation::0cac7534-8d6f-2d13-8de7-8a915ed90050::19->1::support_contact,chair->floor,standing on,1,abstain_single_subtype_class_pair,0.538193,0.351926,0.629552,horizontal_like
